Product_ID,Product_Name,Brand,Category,Sub_Category,Price,Original_Price,Discount_Percentage,Rating,Review_Count,Availability,Seller,Delivery_Days,Product_Popularity,Stock_Status
FLP1000,Dove Serum,Dove,Beauty,Skincare,1170.0,1300.0,10,3.8,234,Limited Stock,BestDeals,1,35.1,Low Stock
FLP1001,Samsung Earbuds 30,Samsung,Electronics,Headphones,34552.0,86380.0,60,3.4,1505,In Stock,PrimeSeller,3,44.7,Available
FLP1002,Zara Blouse,Zara,Fashion,Women's Clothing,1260.0,1800.0,30,5.0,658,In Stock,SmartBuy,5,87.1,Available
FLP1003,H&M Handbag,H&M,Fashion,Bags,6869.5,12490.0,45,4.4,456,In Stock,BrandHub,1,52.5,Available
FLP1004,Sony Tab,Sony,Electronics,Tablets,72877.5,97170.0,25,4.2,84,In Stock,MegaMart,5,81.0,Available
FLP1005,Westland Biography 39,Westland,Books,Non-Fiction,315.0,630.0,50,3.7,84,In Stock,ValueStore,5,52.0,Available
FLP1006,Van Heusen Saree,Van Heusen,Fashion,Women's Clothing,9885.0,13180.0,25,4.1,29,Limited Stock,SuperStore,3,87.9,Low Stock
FLP1007,Usha Wall Art,Usha,Home & Kitchen,Decor,19008.0,34560.0,45,3.5,1005,Limited Stock,DailyDeals,3,73.3,Low Stock
FLP1008,Vivo Smartwatch,Vivo,Electronics,Smartwatches,64036.0,91480.0,30,2.2,459,In Stock,DailyDeals,10,100.0,Available
FLP1009,Chhota Bheem Flash Cards,Chhota Bheem,Toys,Educational Toys,749.0,1070.0,30,3.9,615,Out of Stock,BrandHub,5,66.4,Sold Out
FLP1010,WOW Body Wash 86,WOW,Beauty,Personal Care,802.5,1070.0,25,4.0,10,Out of Stock,RetailWorld,3,40.2,Sold Out
FLP1011,Realme Tab,Realme,Electronics,Tablets,33762.0,39720.0,15,5.0,1751,In Stock,DailyDeals,3,31.4,Available
FLP1012,Philips Vacuum Cleaner Max,Philips,Home & Kitchen,Cleaning,11863.5,21570.0,45,3.5,893,In Stock,DailyDeals,5,71.4,Available
FLP1013,W Backpack SE,W,Fashion,Bags,1768.0,2080.0,15,4.0,119,In Stock,RetailWorld,3,66.6,Available
FLP1014,Oppo Note,Oppo,Electronics,Smartphones,12979.5,15270.0,15,3.8,100,In Stock,EliteSeller,5,87.7,Available
FLP1015,Havells Bed Sheet Max,Havells,Home & Kitchen,Bedding,4000.0,8000.0,50,3.2,101,In Stock,PrimeSeller,5,73.8,Available
FLP1016,SS Cricket Bat,SS,Sports,Cricket,3594.0,5990.0,40,3.2,181,In Stock,RetailWorld,2,71.6,Available
FLP1017,Lakme Razor 17,Lakme,Beauty,Personal Care,1455.0,4850.0,70,4.1,371,In Stock,RetailWorld,2,55.2,Available
FLP1018,MDH Cheese,MDH,Groceries,Dairy,180.0,450.0,60,5.0,282,In Stock,RetailWorld,5,47.6,Available
FLP1019,Lakme Body Wash,Lakme,Beauty,Personal Care,3760.0,3760.0,0,4.7,172,Limited Stock,TechZone,3,72.1,Low Stock
FLP1020,Himalaya Hair Serum 82,Himalaya,Beauty,Haircare,379.5,690.0,45,3.9,473,In Stock,SmartBuy,3,91.9,Available
FLP1021,Levi's Sneakers Max,Levi's,Fashion,Footwear,3780.0,4200.0,10,3.6,75,In Stock,ShopKart,5,50.1,Available
FLP1022,Tata Cookies Max,Tata,Groceries,Snacks,272.0,340.0,20,4.3,172,In Stock,SuperStore,2,78.7,Available
FLP1023,Nike Backpack SE,Nike,Fashion,Bags,6072.0,10120.0,40,3.6,228,Limited Stock,QuickMart,2,93.1,Low Stock
FLP1024,Levi's Backpack 21,Levi's,Fashion,Bags,9222.5,10850.0,15,3.4,304,In Stock,BrandHub,2,28.8,Available
FLP1025,Zara Jacket,Zara,Fashion,Men's Clothing,5820.0,11640.0,50,4.3,768,In Stock,SmartBuy,5,63.5,Available
FLP1026,Bloomsbury Biography Plus,Bloomsbury,Books,Non-Fiction,112.5,150.0,25,3.6,111,In Stock,BestDeals,2,59.4,Available
FLP1027,Mamaearth Foundation,Mamaearth,Beauty,Makeup,3101.0,4430.0,30,5.0,361,Limited Stock,QuickMart,2,59.6,Low Stock
FLP1028,Rupa Motivation,Rupa,Books,Self Help,488.0,1220.0,60,4.1,448,Out of Stock,BrandHub,2,50.4,Sold Out
FLP1029,Dabur Milk Lite,Dabur,Groceries,Dairy,1054.0,1240.0,15,4.1,23,In Stock,MegaMart,2,94.0,Available
FLP1030,Zara Backpack 23,Zara,Fashion,Bags,13404.5,14110.0,5,4.3,467,In Stock,PrimeSeller,10,54.1,Available
FLP1031,Rupa Mindset Ultra,Rupa,Books,Self Help,570.0,950.0,40,5.0,93,In Stock,DailyDeals,1,93.5,Available
FLP1032,S. Chand Science Lite,S. Chand,Books,Non-Fiction,350.0,700.0,50,4.8,33,In Stock,ValueStore,2,51.7,Available
FLP1033,Allen Solly Slippers Max,Allen Solly,Fashion,Footwear,1519.0,2170.0,30,3.6,1486,Out of Stock,BrandHub,2,48.2,Sold Out
FLP1034,Xiaomi Pro,Xiaomi,Electronics,Tablets,37031.5,67330.0,45,3.4,1685,In Stock,DailyDeals,5,54.0,Available
FLP1035,Motorola Earbuds Max,Motorola,Electronics,Headphones,16080.0,53600.0,70,4.0,826,Out of Stock,BrandHub,2,82.2,Sold Out
FLP1036,Head Yoga Mat,Head,Sports,Yoga,14641.0,26620.0,45,4.3,181,In Stock,QuickMart,2,94.0,Available
FLP1037,Wilson Water Bottle 81,Wilson,Sports,Cycling,1521.5,1790.0,15,4.2,51,In Stock,EliteSeller,3,60.0,Available
FLP1038,Nerf Baby Doll Lite,Nerf,Toys,Dolls,2118.0,3530.0,40,3.5,576,Limited Stock,TopBrands,3,68.9,Low Stock
FLP1039,Neutrogena Foundation Max,Neutrogena,Beauty,Makeup,384.0,480.0,20,4.0,290,Limited Stock,QuickMart,1,83.0,Low Stock
FLP1040,Rupa Sci-Fi Pro,Rupa,Books,Fiction,402.0,670.0,40,3.7,65,Out of Stock,ValueStore,3,66.5,Sold Out
FLP1041,Morphy Richards Cushion 38,Morphy Richards,Home & Kitchen,Decor,42280.0,60400.0,30,2.8,341,Out of Stock,TopBrands,7,57.3,Sold Out
FLP1042,Vivo Pro,Vivo,Electronics,Tablets,71506.5,110010.0,35,5.0,17,In Stock,TechZone,7,37.8,Available
FLP1043,Neutrogena Hair Mask 45,Neutrogena,Beauty,Haircare,792.0,990.0,20,3.5,1200,In Stock,BrandHub,5,74.5,Available
FLP1044,LG Pro Max,LG,Electronics,Smartphones,9412.5,12550.0,25,3.9,149,Limited Stock,ShopKart,1,72.4,Low Stock
FLP1045,Sony Notebook,Sony,Electronics,Laptops,56138.5,102070.0,45,4.6,543,In Stock,ShopKart,3,57.8,Available
FLP1046,Motorola Pad 23,Motorola,Electronics,Tablets,72254.0,103220.0,30,3.0,186,In Stock,BrandHub,5,84.2,Available
FLP1047,Pan Macmillan Novel,Pan Macmillan,Books,Fiction,900.0,1200.0,25,2.9,367,In Stock,ValueStore,3,59.0,Available
FLP1048,Nestle Salt Max,Nestle,Groceries,Staples,268.0,670.0,60,2.9,395,In Stock,ShopKart,7,61.1,Available
FLP1049,Adidas Kurti,Adidas,Fashion,Women's Clothing,2860.0,4400.0,35,3.9,102,In Stock,TopBrands,3,87.3,Available
FLP1050,Oppo Tab 40,Oppo,Electronics,Tablets,25052.5,45550.0,45,3.7,1746,In Stock,TopBrands,7,49.7,Available
FLP1051,Bosch Bed SE,Bosch,Home & Kitchen,Furniture,33702.5,51850.0,35,3.8,746,In Stock,PrimeSeller,3,66.2,Available
FLP1052,Milton Vacuum Cleaner,Milton,Home & Kitchen,Cleaning,13732.0,34330.0,60,3.3,1402,In Stock,PrimeSeller,2,59.2,Available
FLP1053,OnePlus Neckband 22,OnePlus,Electronics,Headphones,13108.0,32770.0,60,2.8,1126,Limited Stock,BestDeals,3,68.2,Low Stock
FLP1054,Nike Sandals,Nike,Fashion,Footwear,9639.0,10710.0,10,3.6,455,In Stock,BrandHub,5,100.0,Available
FLP1055,Sony Tab,Sony,Electronics,Tablets,55807.5,74410.0,25,4.0,1274,Limited Stock,ShopKart,3,71.0,Low Stock
FLP1056,L'Oreal Serum Ultra,L'Oreal,Beauty,Skincare,456.5,830.0,45,4.2,46,In Stock,BestDeals,3,62.3,Available
FLP1057,Wilson Bolster Plus,Wilson,Sports,Yoga,21824.0,27280.0,20,5.0,109,In Stock,BestDeals,3,18.3,Available
FLP1058,Puma Shirt 14,Puma,Fashion,Men's Clothing,2298.0,3830.0,40,3.9,23,In Stock,SuperStore,3,65.7,Available
FLP1059,Adidas Sunglasses,Adidas,Fashion,Accessories,8320.0,10400.0,20,4.1,196,In Stock,DailyDeals,7,37.8,Available
FLP1060,OnePlus Air Max,OnePlus,Electronics,Tablets,13815.0,15350.0,10,4.1,246,Out of Stock,FlashSale,7,39.1,Sold Out
FLP1061,Bloomsbury Leadership,Bloomsbury,Books,Self Help,559.0,860.0,35,4.1,158,In Stock,DailyDeals,2,67.8,Available
FLP1062,Playmobil Puppet 76,Playmobil,Toys,Dolls,2286.0,7620.0,70,3.6,882,In Stock,SmartBuy,5,51.0,Available
FLP1063,FabIndia Backpack 30,FabIndia,Fashion,Bags,6259.5,9630.0,35,4.7,220,In Stock,SuperStore,2,60.6,Available
FLP1064,Inalsa Mattress SE,Inalsa,Home & Kitchen,Bedding,3249.0,3420.0,5,3.7,164,Limited Stock,TopBrands,3,81.2,Low Stock
FLP1065,Allen Solly Saree Max,Allen Solly,Fashion,Women's Clothing,1686.0,5620.0,70,3.1,391,In Stock,TopBrands,2,65.2,Available
FLP1066,Motorola Smartwatch Pro,Motorola,Electronics,Smartwatches,48360.0,120900.0,60,4.4,75,In Stock,BrandHub,1,86.2,Available
